Rua,Código,Descrição,Imagem do produto
4-M,012000015:,	PROTETOR DE SURTO P/ REDE LAN LAIRD ESP-100-POE,
4-N,SEM ITENS,SEM ITENS,
4-O,020100072:,CAMERA IP ITSCAM 411 (S03L0) + LENTE THEIA SL940A,
4-P,020100072:,CAMERA IP ITSCAM 411 (S03L0) + LENTE THEIA SL940A,
4-Q,070900023:,PLACA DE SINALIZA AMARELO,
4-R,012000003:,FILTRO DE LINHA 2 TOMADAS REF 3117 ISOTEL BRASIL,
5-A,040300034,CABO USB MACHO-MACHO,
5-A,049900257,"CABO PATCH CORD CAT6 FURUKAWA CINZA 1,5M",
5-A,020200017,LENTE THEIA 9-40MM SL 940A,
5-B,020100018,CAMERA IP ITSCAM HDR13C2A  (COM LENTE  THEIA 9 - 40MM (SL940A) E ASSINATURA DIGITAL,
5-B,020100073,"CAMERA IP ITSCAM CCD13L3A  (LENTE MOTORIZADA  4,7 - 47MM - C/ ASSINATURA DIGITAL)",
5-B,020200001,"LENTE AUTO IRIS DC 1/3"" 5,0-50MM SCV550DC F1.7 KODO",
5-B,020200018,"LENTE IR AUTO IRIS DC 1/3"" 2,8-12MM F1.2 TV4X2812D SENKO",
5-B,020200006,"LENTE IR AUTO IRIS DC 1/3"" 2,8-11MM 13VG2811ASIR TAMRON",
5-C,020100040,CAMERA IP DS-2CD4A26FWD-IZS 2MP LENTE 8-32MM HIKVISION,
5-D,020100049,CAMERA IP ITSCAM 401L AD,
5-D,020100075,"CAMERA IP ITSCAM 411 (S04L3A) LENTE MOTORIZADA  4,7 - 47MM",
5-D,020100010,CAMERA IP ITSCAM 401,
5-E,SEM ITENS,SEM ITENS,
5-F,SEM ITENS,SEM ITENS,
5-G,012200020,FONTE DE ALIMENTACAO 24V 20A,
5-H,020200000,"LENTE AUTO IRIS DC 1/3"" 5.0-50MM 13VG550T TAMRON",
5-H,012200029,"CARREGADOR DE BATERIAS INTELIGENTE 27,5V  20A  - 5.01.003  VOLT",
5-I,020100016,CAMERA IP ITSCAM 411,
5-I,012200043,FONTE DE ALIMENTAÇÃO P/ROTEADOR WI-FI ROUTERBOARD,
5-I,012200044,FONTE DE ALIMENTACAO P/ SWITCH 8 PORTAS 10/100 SF800Q+ULTRA POE ANTI SURTO                                                                                                                              ,
5-J,011700003,DISJUNTOR BIFASICO 16A CURVA B,
5-J,011700023,DISJUNTOR MONOFASICO 10A,
5-J,011900001,TOMADA RECEPTACULO FONTE AT,
5-J,039900172,BORRACHA AUTOCOLANTE PERFIL 10X3MM 5618,
5-K,012200011,FONTE DE ALIMENTACAO 12V 50W                                                                                                                                                                            ,
5-K,012200012,FONTE DE ALIMENTACAO 12V 5A  EFM 1205 INTELBRAS                                                                                                                                                         ,
5-L,020100076,"CAMERA IP ITSCAM 411 (S05L3A) LENTE MOTORIZADA  4,7 - 47MM - C/ ASSINATURA DIGITAL HDR                                                                                                                  ",
5-L,010700132,KIT CABOS P/ FONTE NOBREAK/MPT - 26.04.002 VOLT,
5-M,070500017,MODULO POTENCIA 24V 9A MITS,
5-N,012200028,FONTE NOBREAK FULL POWER 620W 24V  20A -  3.21.011  VOLT,
5-N,049900104,ROTEADOR WI-FI ROUTERBOARD RB951G-2HND,
5-O,020100072,CAMERA IP ITSCAM 411 (S03L0) + LENTE THEIA SL940A                                                                                                                                                       ,
5-P,020100072,CAMERA IP ITSCAM 411 (S03L0) + LENTE THEIA SL940A                                                                                                                                                       ,
5-Q,070900016,PLACA DE DIGITO AMARELO,
5-R,070900016,PLACA DE DIGITO AMARELO,
6-A,020100070:,CAMERA IP DS-2DF8C835MHS-DEL 2MP DOME PTZ HIKVISION DOME 4K,
6-A,020100056:,CAMERA IP IDS-TCM203-A/0832 2MP LENTE 8-32MM BULLET HIKVISION,
6-B,SEM ITENS,SEM ITENS,
6-C,SEM ITENS,SEM ITENS,
6-D,041000016:,MINI PC DELL,
6-D,041000014,MINI PC DELL OPTIPLEX 3070 MFF - CORE I3-9100T 4GB DE RAM HD 1TB SAIDA VGA - UBUNTU - DIMENSAO (AL X LA X PR) 18.2 X 3.6 X 17.8CM,
6-D,041200022:,"HD SATA 1 TB 2,5 7MM",
6-E,041200003:,HD SATA 1 TB,
6-F,049900183:,SWITCH 8 PORTAS 10/100/1000 MBPS SG800Q+,
6-G,020100035:,CAMERA PTZ DS-2DF8836IX-AELW-CAMERA PTZ 8MP 36X 200M IR IP67 IK10,
6-H,020100055:,CAMERA IP IDS-2CD7A26G0/P-IZHS(Y)  2MP LENTE 2.8-12MM BULLET HIKVISION,
6-I,020100055:,CAMERA IP IDS-2CD7A26G0/P-IZHS(Y)  2MP LENTE 2.8-12MM BULLET HIKVISION,
6-I,040600004:,FILTRO P/ COOLER 80X80MM ADDA  GRM80-30,
6-J,020100055:,CAMERA IP IDS-2CD7A26G0/P-IZHS(Y)  2MP LENTE 2.8-12MM BULLET HIKVISION,
6-K,020100050:,CAMERA IP DS-2CD4A24FWD-IZ 2MP LENTE 4.7-94MM/F1.4  ZOOM 20X HIKVISION,
6-K,040600007:,COOLER P/ PROCESSADOR I7 94X93X58 MM,
6-L,040600006:,COOLER 80X80X38MM 24V ADDA  AS08024HB389300,
6-L,040600008:,COOLER 80X80X15MM 12V ADDA  AD0812HB-D76,
6-M,042000019:,PLACA MAE GIGABYTE H310M M.2 LGA1151 DDR4,
6-N,042100016:,PLACA DE VIDEO GTX 1660 6GB MINI ITX,
6-O,011800002:,DISPLAY LCD ATM1602B COM BACKLIGHT,
6-O,042000020:,PLACA MAE GIGABYTE H510M H LGA1200 DDR4,
6-P,040100016:,ADAPTADOR USB 3.0 - ETHERNET DELL FM76N,
6-P,042000024:,PLACA MAE GIGABYTE H510M K V2 LGA1200 DDR4,
6-Q,040600009:,COOLER 60X60X15MM DC24V 0.1A FWDZ FD6015S24M 2 FIOS,
6-Q,040600005:,FILTRO P/ COOLER 120X120MM ADDA  GRM120-30,
6-Q,040600003:,COOLER 80X80X25MM 24V ADDA  AD0824HB-A76,
6-R,040600001:,COOLER 80X80X25MM 12V ADDA  AD08012UB257603,
6-S,020100080:,CAMERA IP DS-2DE5232IW-AE + ZJ 2MP / 32X - HIKVISION,
6-S,042000024:,PLACA MAE GIGABYTE H510M K V2 LGA1200 DDR4,
6-T,042000023:,PLACA MAE MITX-I984 MINI ITX INDUSTRIAL LGA1700 DDR5 SO-DIMM JHCTECH,
6-U,041400017:,MEMORIA DDR4 8GB 2666 MHZ P/ NOTEBOOK - KINGSTON,
6-U,041400022:,MEMORIA 16GB DDR4 KINGSTON P/ DESKTOP,
6-U,041400012:,MEMORIA 8GB DDR4  - KINGSTON,
6-U,041400023:,MEMORIA 16GB DDR5 4800MHZ SODIMM KINGSTON P/ NOTEBOOK,
6-U,042200028:,PROCESSADOR INTEL CORE LGA1700 I5-12400 (COM VIDEO INTEGRADO),
6-V,040600000:,COOLER,
6-V,042200025:,PROCESSADOR INTEL CORE LGA1200 I5-10400 (COM VIDEO INTEGRADO),
6-V,042200024:,PROCESSADOR INTEL CORE LGA1151 I5-9400,
6-W,042000021:,PLACA MAE H510 MINI ITX 17X17CM LGA1200 DDR4L SO-DIMM,
6-W,042200001:,PROCESSADOR INTEL,
6-W,042200021:,PROCESSADOR INTEL CORE LGA1155 I3,
6-W,042200026:,PROCESSADOR INTEL CORE LGA1200 I7-10700 (COM VIDEO INTEGRADO),
6-X,040600002:,COOLER 120X120MM 110/220V,
7-A,019900011,TRILHO KF-160,
7-A,019900238,FERRITE  100 MHZ A 2.5 GHZ - WURTH 74271622,
0,0, ,
7-B,111000111,ALCOOL ISOPROPILICO,
7-B,119900706,VERNIZ 70SEGUV IMPLASTEC LATA 900ML,
7-B,139900224,FITA ROTULADORA BROTHER  TZES-261,
7-B,119900269,DESENGRIPANTE WD40 500ML,
7-B,111000115,GRAXA,
0,0, ,
7-C,110400000,COLA FORMICA - BISNAGA 75G,
7-C,119900780,PASTA TERMICA,
7-C,119900000,DESENGRIPANTE YD-55,
7-C,089900201,SILICONE EM BASTÃO,
0,0, ,
7-D,013900005,TERMO CONTRACTIL 19MM,
7-D,110800005,FITA DUPLA FACE VERDE 19MM X 20M,
7-D,119900604,SELANTE FLEXIVEL DE PU HIBRIDO CINZA,
0,0, ,
7-E,070500011,DETETOR DE SEMAFORO,
7-E,119900718,SELANTE FLEXIVEL DE PU HIBRIDO PRETO,
7-E,019900174,"TAMPAO P/ ACABAMENTO EM PAINEL 1"" 25MM 15166B",
7-E,042300001,PATCH PANEL FAST  - POE 5 PORTAS  - FAG,
0,0, ,
7-F,040300003,"CABO DE FORCA PC PADRAO ABNT  1,5M (3X1,0MM²)",
7-F,049900139,ROTEADOR 4G DLINK DWR-922B,
0,0, ,
7-G,011900041,TOMADA DUPLA PARA PAINEL 2P+T EX-4526,
7-G,013400055,PLACA P/ FONTE NOBREAK FULL POWER 620 - 107B01R03 (24V - 20A) - 54.02.021 VOLT,
0,0, ,
7-H,019900237,FERRITE 25 MHZ A 100 MHZ  - WURTH 74271722,
7-H,013400056,PLACA CARREGADOR FULL POWER 28-380W - 3.19.002 VOLT (P/ FONTE FULL POWER 620W),
0,0, ,
7-I,041200024,SSD 1TB SATA,
7-I,013300020,PLACA PADRAO UNIVERSAL PERFURADA,
7-I,030600013,VIDRO INCOLOR 295 X 105 X 8MM NAO TEMPERADO - PARA GABINETE CAMERA RSCONTROL,
7-I,030600012,VIDRO INCOLOR 125 X 114 X 8MM NAO TEMPERADO,
0,0, ,
7-J,011400180,BARRAMENTO TERRA COM  8 FUROS  P/ TRILHO DIN (VERDE),
7-J,030600017,VIDRO INCOLOR  90 X 90 X  8 MM - P/ GABINETE SPOTE CAMERA COMPACTO TAMPA REMOVIVEL,
0,0, ,
7-K,049900159,ROTEADOR 3G/4G TP LINK TL-MR3420,
7-K,012900021,LED SMD 0603 AZUL 19-217/BHC-AN1P2/3T EVERLIGHT,
7-K,012900003,LED LARANJA 5MM 5800-7000MDC 605NM,
7-K,012900033,LED SMD LARANJA 3228 2PLCC 120º,
7-K,012900025,LED SMD AMARELO 3228 2PLCC 120º  900-1800MCD 583-595NM (LY T67F.01-V2AB-36-3A4B) OSRAM                                                                                                                  ,
0,0, ,
7-L,013900004,TERMO CONTRACTIL 8MM,
7-L,013900000,TERMO CONTRACTIL 3MM,
0,0, ,
7-M,010900000,CAPA CONECTOR DB9,
0,0, ,
7-N,013400063,PLACA CONTROLE / CARREGADORA 620W VOLT  (107B02R04),
7-N,019900123,"CAIXA P/TRILHO DIM - ME 17,5 UTG GN",
7-N,019900124,"TAMPA P/ CAIXA DE TRILHO DIM - ME 17,5 OT-MKDSO GN",
0,0, ,
7-O,011400171,CONECTOR HEADER 60POS 0.8MM GOLD - SAMTEC -   #P/N: ERM8-030-05.0-S-DV-K-TR,
7-O,013600002,PORTA FUSIVEL P/ PAINEL 11005/F MARGIRIUS,
7-O,011400170,CONECTOR RCPT 60POS 0.8MM GOLD - SAMTEC -   #P/N: ERF8-030-05.0-S-DV-K-TR,
0,0, ,
