Rua,Código,Descrição,Imagem do produto
0,0, ,
9-F ,SEM ITENS,SEM ITENS,
0,0, ,
9-G,SEM ITENS,SEM ITENS,
0,0, ,
9-H,012000006,"PROTETOR DE SURTO FLT 35 CTRL-1,5 P/N: 2816894                                                                                                                                                          ",
9-H,012000004,PROTETOR DE SURTO (BASE)PT-BE/FM P/N 2839282                                                                                                                                                            ,
9-H,012000012,PROTETOR DE SURTO P/ TELE ADSL E LAN 2882925 DT-TELE-RJ45                                                                                                                                               ,
9-H,012000015,PROTETOR DE SURTO P/ REDE LAN LAIRD ESP-100-POE                                                                                                                                                         ,
9-H,011700018,DISJUNTOR MONOFASICO 25AMP.                                                                                                                                                                             ,
0,0, ,
9-I,019900266,MODULO DE ENTRADA/SAIDA  WISE-4050/LAN-B ADVANTECH                                                                                                                                                      ,
9-I,019900292,SENSOR MAGNETICO PARA PORTAS E JANELAS – COM FIO                                                                                                                                                        ,
9-I,042100021,"PROTETOR DE SURTO FLT 35 CTRL-1,5 P/N: 2816894",
9-I,013800013,PROTETOR DE SURTO (BASE)PT-BE/FM P/N 2839282,
9-I,012200044,PROTETOR DE SURTO P/ TELE ADSL E LAN 2882925 DT-TELE-RJ45,
0,0, ,
9-J,012200002,CONVERSOR DC/AC,
0,0, ,
9-K,SEM ITENS,SEM ITENS,
0,0, ,
9-L,SEM ITENS,SEM ITENS,
0,0, ,
9-M,SEM ITENS,SEM ITENS,
0,0, ,
9-N,019900227,TERMO CONTRACTIL 10MM,
9-N,019900291,CABO DE CONEXAO PARA TERROMETRO                                                                                                                                                                         ,
0,0, ,
9-O,011900014,TOMADA QUADRUPLA PARA PAINEL 2P+T EX-4525                                                                                                                                                               ,
9-O,011900002,TOMADA DE PAINEL 2P+T P/ PAINEL NBR 14136                                                                                                                                                               ,
0,0, ,
9-P,041000017,MINI-PC - DELL INC.· MODELO: OPTIPLEX 3080  HD MODELO: WDC WD10SPSX-75A - WESTERN DIGITAL                                                                                                               ,
0,0, ,
9-Q,030600016,VIDRO INCOLOR 180 X 135 X 8MM NAO TEMPERADO - SPOT FLASH                                                                                                                                                ,
9-Q,030600014,"PROTETOR DE SURTO FLT 35 CTRL-1,5 P/N: 2816894",
9-Q,070700004,PROTETOR DE SURTO (BASE)PT-BE/FM P/N 2839282,
9-Q,070700003,PROTETOR DE SURTO P/ TELE ADSL E LAN 2882925 DT-TELE-RJ45,
0,0, ,
9-R,SEM ITENS,SEM ITENS,
0,0, ,
9-S,041500006,ROTEADOR 4G ZTE MF 253V,
0,0, ,
9-T,041500006,ROTEADOR 4G ZTE MF 253V,
0,0, ,
9-U,041500006,ROTEADOR 4G ZTE MF 253V,
9-U,049900159,ROTEADOR 3G/4G TP LINK TL-MR3420,
9-U,049900190,ROTEADOR LINK 4G C/VOZ AMPLIMAX - ELSYS,
0,0, ,
9-V,019900165,CAIXA PATOLA 36X190X103 MM PB-600,
9-V,049900087,ROTEADOR WI-FI,
0,0, ,
9-W,SEM ITENS,SEM ITENS,
0,0, ,
9-X,012200026,CONVERSOR DC-DC CVR24/12 30A CORZUS,
0,0, ,
10-A,012200009,FONTE DE ALIMENTACAO MS-150 -24 24V 6.5A,
10-A,040800008,FONTE DE ALIMENTACAO AC/DC 12V - 10V,
0,0, ,
10-B,012200003,FONTE DE ALIMENTACAO 12V 30A MS-360-12,
0,0, ,
10-C,012200012,FONTE DE ALIMENTACAO 12V 5A  EFM 1205 INTELBRAS,
0,0, ,
10-D,042100025,PLACA DE VIDEO GTX 1650 4GB MINI ITX,
10-D,040800004,FONTE DE ALIMENTACAO MOD.CHM 12/10,
10-D,042100016,PLACA DE VIDEO GTX 1660 6GB MINI ITX,
0,0, ,
10-E,012200008,FONTE DE ALIMENTACAO MS-150 -12 12V 12.5A,
10-E,041800004,NOBREAK,
10-E,012200024,FONTE NOBREAK UPS 24V 8A MAXLINK,
10-E,012200015,CONVERSOR DC-DC 24/12V 20A CCX 24-12-20,
0,0, ,
10-F,040800007,FONTE DE ALIMENTACAO MOD.CHM 12/5,
10-F,049900008,ROTEADOR WI-FI ROUTERBOARD RB952UI-5AC2ND-TC,
10-F,040800006,FONTE DE ALIMENTACAO MOD.CHM 24-5,
0,0, ,
10-G,012200014,FONTE NOBREAK FULL POWER 250W 24V 9A -  3.04.026  VOLT,
0,0, ,
10-H,070500007,MODULO REGISTRADOR RS-V2.0,
0,0, ,
10-I,070500008,MODULO DISPLAY INTERNO RS-V2.0,
0,0, ,
10-J,SEM ITENS,SEM ITENS,
0,0, ,
10-K,012200013,FONTE NOBREAK 24V/8A CNM 24-8,
0,0, ,
10-L,049900103,ESTABILIZADOR  DE TENSAO,
0,0, ,
10-M,SEM ITENS,SEM ITENS,
0,0, ,
10-N,SEM ITENS,SEM ITENS,
0,0, ,
10-O,070500041,MODULO REGISTRADOR MITS VIDEO                                                                                                                                                                           ,
0,0, ,
10-P,SEM ITENS,SEM ITENS,
0,0, ,
10-Q,070500032,MODULO MEDIDOR MITS LOOP 2FX,
0,0, ,
10-R,070500032,MODULO MEDIDOR MITS LOOP 2FX,
0,0, ,
10-S,SEM ITENS,SEM ITENS,
0,0, ,
10-T,SEM ITENS,SEM ITENS,
0,0, ,
10-U,SEM ITENS,SEM ITENS,
0,0, ,
10-V,SEM ITENS,SEM ITENS,
0,0, ,
10-W,SEM ITENS,SEM ITENS,
0,0, ,
10-X,SEM ITENS,SEM ITENS,
11-A,070900012,PLACA RS-DI DISPLAY INTERNO,
11-A,070900040,PLACA MITS DL3 DETETORA,
11-A,070900036,PLACA RS-FA MITS LOOP,
0,0, ,
11-B,111000031,VASSOURA P/VASO SANITARIO                                                                                                                                                                               ,
0,0, ,
11-C,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-D,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-E,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-F,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-G,070900060,PLACA DE SINALIZA AMARELO COMPACTA - TESTADA                                                                                                                                                            ,
11-G,070900062,PLACA DE MEIO-DIGITO AMARELA COMPACTA - TESTADA                                                                                                                                                         ,
11-G,070900059,PLACA DE SINALIZA VERDE E LARANJA COMPACTA - TESTADA                                                                                                                                                    ,
0,0, ,
11-H,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-I,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-J,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-K,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-L,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-M,070900058,PLACA DE DIGITO AMARELA  COMPACTA -TESTADA                                                                                                                                                              ,
11-M,070900023,PLACA DE SINALIZA AMARELO,
0,0, ,
11-N,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-O,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-P,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-Q,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-R,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-S,070900016,PLACA DE DIGITO AMARELO,
11-S,070900006,PLACA DE MEIO-DIGITO AMARELO,
0,0, ,
11-T,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-U,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-V,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-W,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
11-X,070500017,MODULO POTENCIA 24V 9A MITS,
0,0, ,
ARMARIO 01,0, ,
12-A,070900002,PLACA RS-FA FONTE,
12-A,070900003,PLACA RS-BP BACKPLANE,
12-A,070900012,PLACA RS-DI DISPLAY INTERNO,
12-A,070900014,PLACA DISPARADOR XENON,
0,0, ,
12-B,070900016,PLACA DE DIGITO AMARELO,
0,0, ,
12-C,070900024,PLACA DE SINALIZA VERDE E LARANJA,
12-C,070900029,PLACA CORE,
12-C,070900030,PLACA RS-BP MITS LOOP,
0,0, ,
12-D,070900031,PLACA MITS PA,
12-D,070900036,PLACA RS-FA MITS LOOP,
12-D,070900040,PLACA MITS DL3 DETETORA,
0,0, ,
12-E,070900011,PLACA RS-DE DISPLAY EXTERNO,
12-E,070900009,PLACA DE CLOCK,
12-E,070900027,PLACA RS-ST75 SENSOR DE TEMPERATURA,
12-E,070600000,PLACA RS-DL3 PROGRAMMER,
12-E,070900025,PLACA RS-DL3 DETECTORA,
0,0, ,
ARMARIO 80,CÓDIGO, ,
12-F,070900002,PLACA RS-FA FONTE,
12-F,070900006,PLACA DE MEIO-DIGITO AMARELO,
12-F,070900008,PLACA SENSOR DE ENERGIA,
0,0, ,
12-G,070900025,PLACA RS-DL3 DETECTORA,
12-G,070900037,PLACA RS-LASER,
12-G,070900012,PLACA RS-DI DISPLAY INTERNO,
12-G,070900011,PLACA RS-DE DISPLAY EXTERNO,
0,0, ,
12-H,070900029,PLACA CORE,
12-H,070900030,PLACA RS-BP MITS LOOP,
12-H,070900031,PLACA MITS PA,
0,0, ,
12-I,070900040,PLACA MITS DL3 DETETORA,
12-I,070900036,PLACA RS-FA MITS LOOP,
GAVETEIRO 02,CODIGO,DESCRIÇÃO,
A73,011400005,CONECTOR BNC CRIMP PLUG,
A73,011400003,BARRA DE PINOS BPDC-80,
A74,011400012,CONECTOR DB9 MACHO SOLDA FIO,
A74,011400011,CONECTOR DB9 FEMEA SOLDA FIO,
A75,011400029,"CONECTOR MSTBA 2,5/6-G-5,08 - DEGSON 2EDGRC-5.08-06P-14-00A(H)",
A75,011400016,"CONECTOR MINI LATH 2,54 FILA SIMPLES 2 VIAS MLS-02",
A75,011400015,CONECTOR KK 10 VIAS FEMEA PCF2-10,
A76,011400033,CONECTOR KK 10 VIAS MACHO PCM2-10,
A77,011400032,CONECTOR MODULAR PLUG 8P8C TM 88 (RJ45),
A78,011400054,CAPA CONECTOR DB9 FLAT,imagens_produtos\011400054_produto011400054.jpeg
A78,011400037,CONECTOR MODULAR PLUG 6P6C TM 66 (RJ12),
B79,011400059,CONECTOR LATCH 10 VIAS,
B80,011400097,CONECTOR MODULAR MINIATURA 04 VIAS MFPN-04 90º,
B81,011400098,CONECTOR MODULAR MINIATURA 06 VIAS MFPN-06 90º,
B82,011400104,CONECTOR MODULAR MINIATURA 04 VIAS MFAM-04,
B82,011400100,CONECTOR KK 03 VIAS FEMEA PCF3-03,
B82,011400099,CONECTOR KK 03 VIAS MACHO PCMC3-3,
B83,011400101,CONECTOR DIN PLUG 64POS RT ANG PCB TIPO C 5536356-5,
B84,011400101,CONECTOR DIN PLUG 64POS RT ANG PCB TIPO C 5536356-5,
C85,011400102,CONECTOR DIN RECEPT 64POS VERT PCB  TIPO C 5650956-5,
C86,011400113,CONECTOR MODULAR MINIATURA 04 VIAS MFPT-04 90º SEM ORELHAS,
C86,011400105,CONECTOR MODULAR MINIATURA 06 VIAS MFAM-06,
C87,011400115,CONECTOR KK 04 VIAS FEMEA PCF3-04,
C87,011400111,"CONECTOR 3 PINOS P/ CAIXA TRILHO DIM MKD50 2,5/3-R",
C87,011400110,"CONECTOR 3 PINOS P/ CAIXA TRILHO DIM MKD50 2,5/3-L",
C88,011400127,"CONECTOR MINI LATH 2,54 FILA SIMPLES 4 VIAS MLS-04",
C88,011400119,CONECTOR KK 04 VIAS MACHO PCMC3-4,
C88,011400116,CONECTOR KK 2 VIAS MACHO PCMC2-2,
C89,011400136,CONECTOR CIRCULAR P/ PAINEL RJ45 8P8C RCP-5SPFFH-TCU7001 AMPHENOL,
C89,011400125,PLUG ACENDEDOR DE CIGARROS COM FUSIVEL E RABICHO,
C90,011400137,CONECTOR CIRCULAR PLUG P/ CABO RJ45 RCP-00BMMS-TLM7001 AMPHENOL,
D91,012100002,"TERMINAL OLHAL 2,5MM CRIMPER AN2437-C",
D92,012100003,TERMINAL TUBULAR AI 6-12 YE P/N: 3200548,
D93,012100005,"TERMINAL TUBULAR AI 1,5-8 RD P/N: 3201136",
D93,012100004,"TERMINAL TUBULAR AI 0,5-8 WH P/N: 3200014",
D94,012100009,"TERMINAL TUBULAR AI 0,75-8 GY P/N: 3200519",
D94,012100007,"TERMINAL TUBULAR AI 2,5-8 BU P/N: 3200522",
D95,012100011,TERMINAL TUBULAR AI 1-8 RD P/N: 3200030,
D95,012100010,"TERMINAL TUBULAR AI 1,5-8 BK P/N: 3200043",
D96,012100013,"TERMINAL OLHAL 4,0MM CRIMPER AN2452",
E97,012100014,TERMINAL TUBULAR AI 4-10 GY P/N: 3200535,
E98,012100031,"TERMINAL DE ENGATE TIPO FEMEA EF4228 1,1- 2,6MM²  6,6X0,8MM",
E98,012100025,"TERMINAL FORQUILHA FURO M4 FIO 1,30-2,60 MM²  CRIMPER FR2479",
E99,012100033,"TERMINAL OLHAL 2,5MM CRIMPER AN2835 - FURO 5MM",
E99,012100032,TERMINAL BMC5AG -  35A PARA CONECTOR BMC2L,
E100,019900173,KNOB P/ CHAVE PUSHBUTTON,
E100,011100001,INTERRUPTOR DE TECLA VERMELHO 28123 M1F T1E E2 S,
E101,011100004,INTERRUPTOR PUSH BUTTON VERDE 27127 M1F T2D  E3 S,
E102,011100022,INTERRUPTOR DE TECLA VERMELHO 15223 M1F T1E S1 S,
E102,011100002,INTERRUPTOR DE TECLA PRETO 28127 M1F T2F E2 S,
F103,050500027,KIT TRAVA DB FEMEA,
F104,039900000,PINO DE LACRE MOD MEDIDOR 1.3.4.120 REV 00,
F105,050400001,"ESPACADOR STANDOFF HEX 6-32THR 625""L ALUMINIO",
F105,050400000,ESPACADOR SPACER ROUD # 4 SCREW NYLON CLR PN# 875 KEYSTONE,
F105,050500047,ESPACADOR STANDOFF M/F MET 5MM HEX 12MM L,imagens_produtos\050500047_A.png
F106,012300003,FUSÍVEL 20A 20X5MM,
F106,012300002,FUSIVEL 3A 20X5MM,
F106,012300001,FUSIVEL 5A 20X5MM,
F107,012300006,FUSIVEL 5A 3AG 30X6MM,
F107,012300005,FUSIVEL 1A 20X5MM,
F107,012300004,"FUSIVEL 6,3A 20X5MM",
F108,012100022,TEST POINT THM,
F108,012300008,FUSIVEL PTC RESETAVEL 0.17A,
F108,012300007,FUSIVEL 10A 20X5MM,
G109,0136000002,PORTA FUSIVEL P/ PAINEL 11005/F MARGIRIUS,
G110,012700003,BARRA DE JUMPER 12 POLOS MPB 18/1-12 P/N 2748593,
G111,012700001,"JUMPER SHUNT, ECON, PHBR, 5AU",
G111,012700000,JUMPER P/BORNE FBRI: 10-5N P/N: 2770642,
G112,012200017,MODULO REGULADOR DE TENSAO MP1584 2A STEP DOWN - 22MM X 17MM,
G113,012200018,MODULO REGULADOR DE TENSAO XL4015 5A STEP DOWN,
G114,010500005,SEPARADOR DE SECAO AZUL D-UK 4/10 BU,
H115,010400000,BATERIA CR2032,
H116,010400002,BATERIA 9V ALCALINA RAYOVAC,
H117,013100001,PILHA ALCALINA TAMANHO AA,
H118,013100000,PILHA ALCALINA TAMANHO AAA,
H119,010400015,BATERIA 9V RECARREGAVEL,
H120,011400142,CONECTOR XT60  PAR,
I121,012900000,LED VERDE ESMERALDA 5MM 5800-7000MCD 507-510NM,
I122,012900001,LED VERMELHO 5MM,
I123,012900002,LED AMARELO 5MM 5800-7000MCD 587-590NM,
I124,012900003,LED LARANJA 5MM 5800-7000MDC 605NM,
I125,012900005,LED VERMELHO 3MM,
I126,012900006,LED VERDE 3MM,
J127,012900007,LED AMARELO 3MM,
J128,012900008,LED VERDE 5MM,
J129,019900237,FERRITE 25 MHZ A 100 MHZ  - WURTH 74271722,
J130,019900238,FERRITE  100 MHZ A 2.5 GHZ - WURTH 74271622,
J131,019900193,PRENSA CABO 13X15MM EX-1053,
J132,019900193,PRENSA CABO 13X15MM EX-1053,
K133,039900188,PLAQUETA DE IDENTIFICACAO - MITS LOOP,
K134,039900019,PLAQUETA DE IDENTIFICACAO - RS CONTROL,
K135,039900152,PLAQUETA DE IDENTIFICACAO - RS LASER,
K136,013300020,PLACA PADRAO UNIVERSAL PERFURADA,
K137,019900298,DISSIPADOR DE CALOR RDD 1509-40,
K137,119900553,PASTA TERMICA ADESIVA STARS-922 5G,
K138,010900000,CAPA CONECTOR DB9,
L139,013800011,MODULO RELE 24V P/ TRILHO DIN,
L140,013800010,MODULO RELE 12V 30A,
L141,013800003,RELE ML2RC-5V,
L141,013700000,PORTA LED 5MM SSH-LX5091,
L142,012200021,MODULO REGULADOR TENSAO CORRENTE STEP DOWN AJUSTAVEL XL4016 8A 300W,
L143,012200022,"MODULO REGULADOR STEP-DOWN CC CV 20A - 6-40VDC PARA 1,2-36VDC",
L144,012200025,MODULO REGULADOR DE TENSAO AJUSTAVEL LM2596,
ARMARIO 3,0,0,
13-A,013400002,PLACA RS-FA FONTE,
13-A,013400012,PLACA RS-DI DISPLAY INTERNO V5.1,
0,0, ,
13-B,013300028,PCI PLACA  ASSINADORA CAMERA,
0,0, ,
13-C,013400025,PLACA RS-DL3 DETECTORA,
0,0, ,
13-D,013400031,PLACA MITS PA V1.3,
13-D,013300023,PCI MEIO-DIGITO,
13-D,013400048,PLACA DE DESENVOLVIMENTO DIGISPARK ATTINY85,
0,0, ,
13-E,013300018,PCI RS-DE CONTROLE DISP EXT ETHERNET,
13-E,013300017,PCI RS-DL3 DETECTORA,
13-E,013300015,PCI RS-FA FONTE,
13-E,013300021,PCI RS-DS DETETOR DE SEMAFORO,
13-E,013300017,PCI RS-DL3 DETECTORA,
13-E,?,DESCOBRIR CODIGO,
RUA 13,0,0,
GAVETEIRO 01,CODIGO,DESCRIÇÃO,
A1,013500005,RESISTOR 120K 1/8W 1%,
A1,013500004,RESISTOR 10K 1/8W 1%,
A1,013500001,RESISTOR 100K 1/8W 1%,
A2,010800005,VARISTOR 10K150V,
A2,013500006,RESISTOR 180R 1/8W 1%,
A3,013500010,RESISTOR 220R 1/8W 1%,
A3,013500007,RESISTOR 1K 1/8W 1%,
A4,013500012,RESISTOR 270R 1/8W 5%,
A4,013500011,RESISTOR 22K 1/8W 1%,
A5,013500017,RESISTOR 56R 1/8W 1%,
A5,013500015,RESISTOR 33K 1/8W 1%,
A5,013500014,RESISTOR 2K7 1/8W 1%,
A6,013500027,RESISTOR 1K5 1/8W 1%,
A6,013500024,RESISTOR 1K5 1/8W 5%,
A6,013500023,RESISTOR 2K2 1/8W 5%,
B7,013500035,RESISTOR 47R 1/8W 1%,
B7,013500029,RESISTOR 270R 1/8W 1%,
B8,013500055,RESISTOR 100R 1/8W 1%,
B8,013500047,RESISTOR 47K 1/8W 5%,
B8,013500045,RESISTOR 3K3 1/8W 1%,
B9,013500067,RESISTOR 4K7 1/8W 1%,
B9,013500061,RESISTOR 1K 2W 5%,
B9,013500058,RESISTOR 150R 1/8W 5%,
B10,013500098,RESISTOR 220R 1/8W 5%,
B10,013500097,RESISTOR 15K 1/8W 1%,
B11,013500101,RESISTOR 2K2 1/8W 1%,
B11,013500100,RESISTOR 27K 1/8W 1%,
B11,013500071,RESISTOR 8K2 1/8W 1%,
B12,013500106,RESISTOR 470R 1/8W 1%,
B12,013500105,RESISTOR 470K 1/8W 1%,
B12,013500104,RESISTOR 330R 1/8W 1%,
C13,013500110,RESISTOR 330K 1/8W 1%,
C13,013500108,RESISTOR 560R 1W 1%,
C13,013500107,RESISTOR 560R 1/8W 1%,
C14,013500115,RESISTOR 180R 1W 5%,
C14,013500114,RESISTOR 150K 1/8W 1%,
C14,013500113,RESISTOR 47K 1/8W 1%,
C15,013500179,RESISTOR 1M 1/2W 1%,
C15,013500178,RESISTOR 22K 3W FIMLE METALICO,
C15,013500129,RESISTOR 25R 25W  CASE DE ALUMINIO KAL25FB25R0-ND,
C16,013500210,RESISTOR 5R6 5W AXIAL  FIO CERAMICA BRANCA,
C16,013500200,RESISTOR 1R 1/8W 1%,
C17,013500213,RESISTOR 1.2R 2W FILME METALICO,
C17,013500212,RESISTOR 4K7 1W 5%,
C17,013500211,RESISTOR 4R7 3W 5%,
C18,013500217,RESISTOR 56R 3W 5%,
C18,013500216,RESISTOR 390R 2W FILME METALICO,
C18,013500215,RESISTOR 16.5K 1/8W 1%,
D19,013500222,RESISTOR 3.3R 2W 5% PR02,
D19,013500219,RESISTOR 0R27 2W,
D19,013500218,RESISTOR 1R 1W FILME METALICO,
D20,011000003,CAP CER 33PF 50V,
D20,011000001,CAP CER 10NF 50V,
D20,011000000,CAP CER 100NF 50V,
D21,011000008,CAP ELET 10UF 50V,
D21,011000007,CAP ELET 100UF 25V,
D21,011000006,CAP ELET 100UF 25V,
D22,011000036,CAP ELET 470UF 16V,
D22,011000027,CAP ELET 470UF 25V,
D22,011000009,CAP ELET 1UF 50V,
D23,011000065,"CAP ELET 4,7UF 50V",
D23,011000054,"CAP FILME 4,7NF 50V (ECQ-B1H472JF)",
D23,011000050,CAP ELET 220UF 25V,
D24,011000037,CAP ELET 100UF 50V,
E25,011000083,"CAP ELET 3300UF 6,3V 105º",
E25,011000080,CAP ELET 10UF 50V 105º,
E25,011000079,CAP ELET 100UF 25V 105º (EEU-EB1E101),
E26,011000089,CAP ELET 470UF 35V LOW ESR (UHE1V471MHD6),
E26,011000088,CAP ELET 47UF 200V,
E26,011000087,CAP ELET 47UF 50V,
E27,011000146,CAP ELET 220UF 25V 105º,
E27,011000138,CAP CER 1500PF 1KV,
E27,011000131,"CAP ELET 4,7UF 100V",
E28,011000097,CAP ELET 100UF 400V 105ºC,
E28,011000096,CAP POL 100NF 630V B32652A6104J EPCOS,
E28,011000094,CAP ELET 1000UF 35V LOW ESR (EEU-FM1V102),
E29,011000133,CAP ELET 220UF 16V,
E30,011000149,CAP ELET 1000UF 25V 105º,
E30,011000148,CAP ELET 680UF 25V 105º,
E30,011000147,CAP ELET 470UF 50V 105º,
F31,011600003,DIODO ZENER BZX55C2V7 (2V7),
F31,011600001,DIODO 1N4148,
F31,011600000,DIODO 1N4007,
F32,011000154,CAP ELET 1500UF 16V,
F32,011000152,CAP ELET 4700UF 25V 105º,
F32,011000153,CAP ELET 330UF 250V 25X25MM,
F33,011600008,DIODO ZENER SMD BZT52C3V3 (3V3 1/2 W),
F33,011600007,DIODO 1N5408 3A,
F33,011600006,DIODO ZENER 1N4742 (12V),
F34,011600012,DIODO 6A6-T,
F34,011600010,DIODO ZENER 1N4734 (5V6),
F34,011600009,DIODO 6A10,
F35,011600015,DIODO ZENER 1N4744 (15V),
F35,011600014,DIODO ZENER 1N4733 (5V1),
F35,011600013,DIODO SMD 1N4148WX-TP,
F36,011600021,DIODO UF4007,
F36,011600018,DIODO PESD5V0S1BA,
F36,011600016,DIODO 1N5822 SCHOTTKY 40V 3A,
G37,011600032,DIODO SMD RF071M2STR 200V 700MA,
G37,011600029,DIODO ZENER SMD SMBJ5341B-TP (6.2V 5W),
G37,011600022,DIODO ZENER SMD SMBJ5341B-TP (6.2V 5W),
G38,011600028,DIODO ZENER SMD KDZTR3.6B(3V6 1W),
G38,011600027,DIODO ZENER SMD KDZTR5.6B (5V6 1W),
G38,011600026,DIODO SMD (SMA) MRA4007T3G 1000V 1A,
G39,011600035,DIODO SMD MBR0540-TP SCHOTTKY 40V 500MA,
G39,011600034,DIODO SMD (SMC) SMLJ60S6-TP 600V 6A,
G39,011600033,DIODO SMD (SMB) RS3JB-13-F FAST 3A 600V,
G40,011600044,DIODO FMX-4202S FAST 20A 200V,
G40,011600043,DIODO UF5408,
G40,011600040,DIODO SMD (SMB) SK35B-LTP SCHOTTKY 50V 3A,
G41,010100000,DIODO TVS 1.5KE20A.,
G41,011600046,DIODO SBR2040CT 40V 20A,
G41,011600045,DIODO SMD (SMC) MBRS340 SCHOTTKY 40V 3A,
G42,010100008,DIODO TVS SMD SMBJP6KE6.8CA-TP 6.8V 600W,
G42,010100006,DIODO TVS SMD SMCJ5.0A-13-F  5V 1500W,
G42,010100005,DIODO TVS SMD DFLT27A-7 27V 225W,
H43,010100011,DIODO TVS SMCJ1.5KE20A-TP 20V 1500W,
H43,010100010,DIODO TVS SMD SMBJ12CA-TP 12V 600W,
H43,010100009,DIODO TVS SMD SMCJ15A  15V 1500W,
H44,010100016,DIODO TVS 1.5KE200A,
H44,010100014,DIODO TVS SMD SMBJ6.0A E3/52 6V 600W,
H44,011600007,DIODO 1N5408 3A,
H45,011200052,CI LM7812,
H45,011200013,CI AT89S2051-24PU,
H45,011200012,CI SN75176BP,
H46,011200010,CI 74HC595,
H46,011200001,CI SMD LM2596S-ADJ,
H46,011200000,CI 4N25,
H47,011200068,CI SMD 24LC256-I/ST,
H47,011200063,CI TLP620-2,
H47,010600002,TRANSITOR BC338,
H47,011200061,CI LM358AN,
H48,011200024,CI LM324,
H48,011200019,CI LM317T,
H48,011200018,CI SMD CD4093,
I49,011200069,CI SMD CSX750FJC50.000M-UT,
I49,011200067,CI SMD AM26LV31IDR,
I49,011200065,CI SMD SN74LVC244APWR,
I50,011200079,CI SMD ACS712ELCTR-30A-T,
I50,011200077,CI SMD MAX3221IDBR,
I50,011200071,CI SMD DP83848IVV OU DP83848CVV -  INVOLUCRO 48-LQFP (7X7),
I51,011200161,CI SMD AT24C512C-MAHM-T  INVOLUCRO  UDFN 8 PINOS - BN,
I51,011200082,CI SMD TL062CDT,
I51,011200086,CI PIC12F675-E/SN,
I52,011200094,CI SMD 74HC4066M,
I52,011200089,CI SMD LMC6032IM/NOPB,
I52,011200070,CI SMD SN74LVC08APWR,
I53,011200104,CI SMD LM317LD 8-SOIC,
I53,011200160,CI SMD DP83848KSQ/NOPB -  INVOLUCRO 40-WQFN (6X6) - BN,
I53,011200090,CI SMD LMC660CM/NOPB,
I54,011200110,CI SMD ADM2483BRWZ,
I54,011200102,CI SMD LM339D,
I54,011200099,CI 4N35,
J55,011200114,CI SMD LM358D,
J55,011200109,CI LM555,
J55,011200105,CI SMD BH1750FVI-TR,
J56,011200122,CI SMD ADP3338AKCZ-5-R7,
J56,011200117,"CI SMD TLP350(TP1,F)",
J56,011200116,CI SMD LM555CMX/NOPB,
J57,011200135,CI LM 317 L2,
J57,011200129,CI SMD TL072C,
J57,011200123,CI SMD LT1930AES5#TRMPBF,
J58,011200141,CI TL3845P,
J58,011200140,CI SMD SI4501BDY DUAL MOSFET,
J58,011200139,CI SMD TPS650532RGER REGULADOR LDO,
J59,012500002,"INDUTOR SMD 22UH 6,3A COILTRONICS HC9-220-R",
J59,012500001,INDUTOR SMD 38UH  3A  150KHZ  PULSE PE-54040SNL,
J59,012500000,INDUTOR 100 UH,
J60,011200145,CI SMD CY7C63823-QXC,
J60,011200144,CI SMD EL3H7 OPTOISOLADOR,
J60,011200143,CI SMD UC3843 SOIC8,
K61,011200146,CI SMD AT97SC3204T-X2A1B-10,
K61,012500009,INDUTOR SMD 10UH (0805) MLZ2012M100W,
K61,012500008,INDUTOR SMD 47UH 650MA LQH32CN4R7M53L,
K62,011500005,CRISTAL SMD 12MHZ 18PF (HC-49/U-S ),
K62,011500001,CRISTAL 32.7680KHZ 12.5PF CYL,
K62,011500000,CRISTAL 22.1184MHZ HC49/US22,
K63,013800009,RELE 6V 10A SRD-6VDC-SL-C,
K63,011500007,CRISTAL SMD 4MHZ,
K63,011500006,CRISTAL SMD 20MHZ,
K64,011500008,CRISTAL SMD  33.000MHZ OSCILADOR CMOS 632L3I033M00000,
K64,011200147,CI TNY278PN,
K64,011200148,CI KA5H0165RTU,
K65,010600004,TRANSISTOR BC327,
K65,010600002,TRANSISTOR BC338,
K65,010600001,TRANSISTOR BC559,
K66,010600009,TRANSISTOR IRF640,
K66,010600008,TRANSISTOR IRF3205,
K66,010600007,TRANSISTOR BC549B,
